time,epoch,batch,loss,cost
0min5sec,0,0,4.955,512.978
1min4sec,1,0,-432.214,482.814
0min48sec,2,0,-391.117,469.314
0min50sec,3,0,-398.526,474.601
0min47sec,4,0,-331.906,444.631
0min51sec,5,0,-384.897,466.538
0min43sec,6,0,-303.721,428.825
0min47sec,7,0,-248.431,406.896
0min47sec,8,0,-262.899,410.668
0min46sec,9,0,-292.758,425.725
0min41sec,10,0,-248.978,406.887
0min43sec,11,0,-207.366,385.875
0min50sec,12,0,-224.473,392.482
0min49sec,13,0,-225.892,386.777
0min45sec,14,0,-140.978,346.929
0min48sec,15,0,-154.479,350.779
0min49sec,16,0,-151.145,364.942
0min46sec,17,0,-102.224,337.837
0min46sec,18,0,-154.157,363.144
0min50sec,19,0,-156.198,364.714
0min38sec,20,0,-103.466,341.828
0min50sec,21,0,-121.738,339.549
0min48sec,22,0,-90.190,324.130
0min44sec,23,0,-84.070,317.665
0min45sec,24,0,-99.664,329.361
0min48sec,25,0,-101.006,327.644
0min42sec,26,0,-25.283,291.060
0min42sec,27,0,-53.641,301.049
