time,epoch,batch,loss,cost
0min0sec,0,0,9.963,342.674
13min9sec,1,0,-14.356,100.558
12min36sec,2,0,-17.349,95.964
12min10sec,3,0,-10.627,92.561
11min45sec,4,0,-9.197,91.043
11min49sec,5,0,-12.757,88.511
11min57sec,6,0,-10.436,87.323
12min10sec,7,0,-8.767,87.299
11min59sec,8,0,-8.448,85.187
11min56sec,9,0,-5.944,84.499
11min54sec,10,0,-10.306,86.340
11min56sec,11,0,-9.002,86.573
11min50sec,12,0,-6.410,84.113
11min45sec,13,0,-3.834,82.720
11min47sec,14,0,-5.602,83.976
11min46sec,15,0,-6.160,83.934
10min54sec,16,0,-5.250,81.274
11min4sec,17,0,-4.660,82.183
11min8sec,18,0,-3.821,82.150
11min3sec,19,0,-6.064,81.687
10min54sec,20,0,-4.248,80.650
10min58sec,21,0,-10.128,84.627
11min1sec,22,0,-4.288,79.826
11min4sec,23,0,-3.565,79.679
10min55sec,24,0,-7.381,81.925
10min49sec,25,0,-3.979,79.177
10min49sec,26,0,-3.305,79.058
10min55sec,27,0,-2.878,79.614
11min11sec,28,0,-4.412,79.050
11min16sec,29,0,-5.656,80.009
