time,epoch,batch,loss,cost
0min2sec,0,0,6.275,308.609
0min32sec,0,40,24.668,255.378
0min31sec,0,80,16.903,226.407
0min31sec,0,120,13.540,207.954
0min29sec,0,160,10.640,194.735
0min28sec,0,200,9.002,184.638
0min26sec,0,240,7.840,175.611
0min27sec,0,280,6.887,167.964
0min27sec,0,320,6.074,161.687
0min26sec,0,360,5.412,156.424
0min25sec,0,400,4.968,151.870
0min25sec,0,440,4.470,148.014
0min26sec,0,480,4.032,144.891
0min26sec,0,520,3.661,142.189
0min24sec,0,560,3.435,139.493
0min24sec,0,600,3.148,137.008
0min25sec,0,640,2.945,134.843
0min25sec,0,680,2.702,132.827
0min23sec,0,720,2.543,130.852
0min26sec,0,760,2.311,129.232
0min26sec,0,800,2.197,127.934
0min24sec,0,840,2.076,126.560
0min23sec,0,880,1.971,125.246
0min25sec,0,920,1.858,123.992
0min25sec,0,960,1.756,122.836
3min53sec,1,0,-12.634,94.416
0min24sec,1,40,-14.155,95.053
0min26sec,1,80,-17.584,96.935
0min26sec,1,120,-19.483,98.187
0min25sec,1,160,-18.577,97.726
0min24sec,1,200,-18.272,97.658
0min25sec,1,240,-19.176,98.181
0min26sec,1,280,-20.485,98.884
0min24sec,1,320,-20.375,98.987
0min24sec,1,360,-20.274,99.004
0min23sec,1,400,-19.731,98.676
0min23sec,1,440,-19.155,98.409
0min22sec,1,480,-18.746,98.220
0min24sec,1,520,-18.617,98.120
0min25sec,1,560,-18.429,98.023
0min25sec,1,600,-18.313,97.952
0min24sec,1,640,-18.309,97.965
0min24sec,1,680,-18.267,97.966
0min25sec,1,720,-18.196,97.908
0min25sec,1,760,-18.298,97.959
0min23sec,1,800,-18.097,97.856
0min24sec,1,840,-17.927,97.726
0min24sec,1,880,-17.772,97.668
0min23sec,1,920,-17.691,97.632
0min23sec,1,960,-17.495,97.571
3min52sec,2,0,-18.615,96.930
0min23sec,2,40,-14.065,95.279
0min25sec,2,80,-16.524,96.801
0min24sec,2,120,-16.056,96.784
0min23sec,2,160,-15.557,96.486
0min25sec,2,200,-15.426,96.407
0min24sec,2,240,-14.934,96.121
0min24sec,2,280,-14.708,95.948
0min25sec,2,320,-14.560,95.937
0min24sec,2,360,-14.388,95.862
0min24sec,2,400,-14.654,95.957
0min23sec,2,440,-14.494,95.879
0min23sec,2,480,-14.223,95.774
0min25sec,2,520,-14.240,95.729
0min25sec,2,560,-14.212,95.752
0min25sec,2,600,-14.225,95.772
0min24sec,2,640,-14.194,95.777
0min26sec,2,680,-14.206,95.780
0min25sec,2,720,-14.197,95.754
0min25sec,2,760,-14.115,95.704
0min24sec,2,800,-13.963,95.645
0min24sec,2,840,-14.079,95.698
0min25sec,2,880,-14.217,95.796
0min24sec,2,920,-14.191,95.763
0min25sec,2,960,-14.049,95.710
4min9sec,3,0,-18.269,96.801
0min26sec,3,40,-13.790,94.791
0min26sec,3,80,-13.486,94.774
0min25sec,3,120,-12.275,94.350
0min24sec,3,160,-11.852,94.215
0min27sec,3,200,-12.408,94.639
0min26sec,3,240,-12.119,94.508
0min25sec,3,280,-11.757,94.357
0min26sec,3,320,-12.334,94.871
0min25sec,3,360,-12.049,94.724
0min25sec,3,400,-11.873,94.546
0min26sec,3,440,-11.777,94.495
0min25sec,3,480,-11.666,94.464
0min26sec,3,520,-11.680,94.433
0min26sec,3,560,-11.715,94.493
0min25sec,3,600,-11.684,94.481
0min26sec,3,640,-11.829,94.550
0min26sec,3,680,-11.893,94.604
0min26sec,3,720,-12.064,94.697
0min23sec,3,760,-11.903,94.627
0min25sec,3,800,-11.847,94.603
0min23sec,3,840,-11.761,94.532
0min23sec,3,880,-11.564,94.452
0min24sec,3,920,-11.518,94.433
0min26sec,3,960,-11.474,94.435
4min8sec,4,0,-14.004,95.387
0min24sec,4,40,-9.220,92.584
0min25sec,4,80,-9.817,92.950
0min25sec,4,120,-10.260,93.307
0min26sec,4,160,-10.227,93.166
0min26sec,4,200,-10.726,93.472
0min25sec,4,240,-10.437,93.305
0min24sec,4,280,-10.164,93.155
0min25sec,4,320,-10.153,93.268
0min25sec,4,360,-10.516,93.522
