time,epoch,batch,loss,cost
0min3sec,0,0,7.824,747.926
64min27sec,0,2000,4.186,323.132
66min56sec,1,0,-65.321,216.095
62min39sec,1,2000,-112.124,252.786
71min5sec,2,0,-96.260,227.039
57min44sec,2,2000,-96.224,239.962
68min3sec,3,0,-89.001,226.369
56min52sec,3,2000,-65.857,223.849
66min36sec,4,0,-58.074,211.724
53min28sec,4,2000,-43.697,213.933
66min7sec,5,0,-61.771,220.193
54min37sec,5,2000,-40.665,214.327
67min2sec,6,0,-78.457,221.516
52min52sec,6,2000,-30.210,201.059
62min50sec,7,0,-22.514,186.310
49min23sec,7,2000,-12.810,188.418
62min23sec,8,0,-16.285,181.344
50min50sec,8,2000,-9.382,186.754
64min15sec,9,0,-15.872,175.816
52min59sec,9,2000,-33.041,195.239
65min4sec,10,0,-40.531,193.513
52min11sec,10,2000,-29.682,192.430
63min51sec,11,0,-22.513,179.013
51min58sec,11,2000,-19.746,183.894
61min47sec,12,0,-74.360,211.730
51min11sec,12,2000,-13.850,179.349
65min51sec,13,0,-37.874,193.610
52min52sec,13,2000,-31.290,192.000
65min59sec,14,0,-52.948,202.090
54min26sec,14,2000,-29.514,194.297
65min56sec,15,0,-51.415,200.659
52min52sec,15,2000,-31.424,191.217
65min49sec,16,0,-31.994,184.419
52min32sec,16,2000,-14.211,178.535
65min49sec,17,0,-5.419,169.999
53min14sec,17,2000,-20.103,180.467
64min11sec,18,0,0.567,168.902
54min40sec,18,2000,-20.003,180.839
65min15sec,19,0,-21.492,181.659
52min24sec,19,2000,-41.019,196.381
63min0sec,20,0,-16.449,175.535
51min6sec,20,2000,-17.894,176.222
61min46sec,21,0,-11.234,176.666
49min23sec,21,2000,-14.347,173.478
61min26sec,22,0,-32.525,172.323
51min16sec,22,2000,-21.386,173.719
61min44sec,23,0,-20.392,166.443
49min50sec,23,2000,-16.457,169.793
62min33sec,24,0,-17.004,162.928
49min42sec,24,2000,-16.706,169.633
63min12sec,25,0,-28.236,171.140
52min49sec,25,2000,-33.084,186.214
63min40sec,26,0,-28.843,173.064
50min45sec,26,2000,-21.042,175.184
62min38sec,27,0,-22.746,167.560
51min16sec,27,2000,-20.527,173.687
62min8sec,28,0,-19.522,164.156
47min45sec,28,2000,-14.772,167.621
60min40sec,29,0,-23.647,170.134
47min42sec,29,2000,-5.824,162.561
